dataset,seed,cohort,model,metric,estimate,ci_lower,ci_upper
cas,3301,future,dummy_most_frequent,ordinal_mae,0.24464048567634225,0.24464048567634225,0.24464048567634225
cas,3301,future,logistic_weighted,ordinal_mae,0.7360083475621324,0.72129814077025234,0.75128296338455691
cas,3301,future,lightgbm_legacy,ordinal_mae,0.66856383987858092,0.65490419275279832,0.68260766457977606
cas,3301,future,lightgbm_revised,ordinal_mae,0.67008157844811234,0.65661164864352117,0.68440523619806493
cas,3301,future,dummy_most_frequent,accuracy,0.77992790741794726,0.77992790741794726,0.77992790741794726
cas,3301,future,logistic_weighted,accuracy,0.478561942705369,0.46879150066401065,0.48766837412255737
cas,3301,future,lightgbm_legacy,accuracy,0.49981028267880856,0.49041690381331815,0.50882185543540126
cas,3301,future,lightgbm_revised,accuracy,0.49971542401821284,0.49022718649212677,0.50872936824132031
cas,3301,future,dummy_most_frequent,fatal_recall,0,0,0
cas,3301,future,logistic_weighted,fatal_recall,0.56370656370656369,0.50579150579150578,0.62548262548262545
cas,3301,future,lightgbm_legacy,fatal_recall,0.39768339768339767,0.33976833976833976,0.46332046332046334
cas,3301,future,lightgbm_revised,fatal_recall,0.39382239382239381,0.3359073359073359,0.45945945945945948
cas,3301,future,dummy_most_frequent,serious_or_fatal_recall,0,0,0
cas,3301,future,logistic_weighted,serious_or_fatal_recall,0.64008620689655171,0.6198275862068966,0.66034482758620694
